"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"96","Uda8688","Uda826","Udaipur","08_26",73.7008,24.5786,46000,33300,34800,44100,59700,89700,199394,303819,338450,431917,517227
"97","Rau13477","Rau2105","Raurkela","21_05",84.8719,22.2238,NA,NA,NA,NA,NA,15600,143514,231195,242712,500519,517003
"98","Ujj7995","Ujj2321","Ujjain","23_21",75.776785,23.18863,39900,39300,44000,54700,81300,129900,142012,278454,362633,431162,515215
"99","Bel3173","Bel2901","Belgaum","29_01",74.523319,15.866045,42200,50700,56800,61400,86300,117900,319363,577506,405569,482548,511858
"100","Bha15154","Bha1022","Bhagalpur","10_22",86.9748,25.2428,75800,74400,68900,83900,93300,114600,173450,284450,305257,424480,506491
"101","Gay14681","Gay1035","Gaya","10_35",85.0085,24.7881,71300,50000,67600,88100,105300,133700,118484,300863,318767,422359,505689
"102","Ako6401","Ako2705","Akola","27_05",77.0034,20.7102,25900,28634,29300,37900,47700,59654,205357,365638,384370,455577,502583
"103","Muz12341","Muz902","Muzaffarnagar","09_02",77.7007,29.471,23500,23900,24000,35400,46800,64300,162669,257034,280770,394725,500984
"104","Man2065","Man2924","Mangalore","29_24",74.8627,12.8742,44200,48500,53900,66800,81100,117100,226447,319793,445126,439787,484785
"105","Amb12821","Amb602","Ambala","06_02",76.772315,30.385342,78700,80200,76400,86600,107500,152100,144990,201612,212508,410650,469734
"106","Jal6596","Jal2703","Jalgaon","27_03",75.5636,21.0028,16300,17800,23400,34300,48600,68500,83702,232505,242193,368618,460468
"107","Mat10656","Mat914","Mathura","09_14",77.6701,27.4992,60100,58200,52900,64100,80600,105800,165975,257001,267733,363390,457100
"108","Bil7388","Bil2207","Bilaspur","22_07",82.1647,22.0837,26125,27363,38136,49279,70313,75072,165001,283597,302609,395120,450098
"109","Tam13547","Tam1915","Tamluk","19_15",87.9235,22.2931,81000,81000,84000,91000,121000,136000,194275,312498,343635,386197,446371
"110","Kul14178","Kul1909","Kulti","19_09",86.836447,23.736507,NA,NA,NA,NA,NA,NA,202359,298474,318997,406883,443872
"111","Dav2599","Dav2914","Davanagere","29_14",75.9221,14.4672,11550,11110,20060,27376,39750,71808,161765,289617,293304,371325,441803
"112","Pat12861","Pat317","Patiala","03_17",76.392,30.3303,53600,47000,47600,55200,69900,97900,120964,220369,270363,344391,433749
"113","Dhu6583","Dhu2702","Dhule","27_02",74.768695,20.901141,24800,30400,29500,39700,53400,76900,127847,228096,297790,377914,433157
"114","Raj4361","Raj2814","Rajahmundry","28_14",81.776704,17.006791,46900,58900,63600,73400,86000,119300,244456,433116,466500,451312,431661
"115","Yam12754","Yam603","Yamunanagar","06_03",77.281898,30.135076,113500,112100,111600,113300,116500,139700,190522,261972,272753,352101,427380
"116","Bel2833","Bel2912","Bellary","29_12",76.9337,15.1444,58300,35000,39900,47600,56200,70400,133042,201579,245391,316766,409644
"117","Dar16666","Dar1013","Darbhanga","10_13",85.8973,26.1571,11500,48750,86000,97000,107000,114000,147358,223769,289389,360316,407117
"118","His11984","His612","Hisar","06_12",75.723,29.1502,24338,23650,33742,39549,53813,67776,158018,246721,258811,354733,404453
"119","Ahm5868","Ahm2726","Ahmadnagar","27_26",74.736987,19.093904,35800,33900,49900,57300,70500,105300,207269,370972,422764,368893,398693
"120","Lat5392","Lat2728","Latur","27_28",76.569852,18.395382,11550,NA,19234,36344,31250,45312,147420,189548,202372,305910,396769
