ID,Name,ID_REG,Country,Lat,Long,1840,1856,1897,1926,1939,1959,1970,1979,1989,2002,2010
AR68401,Tambov,RUS64,Russia,52.71666667,41.43333333,12986,21950,48015,73900,123200,197700,263100,307900,343100,327712,312308
AR71136,Sourgout,RUS70,Russia,61.25,73.43333333,0,0,0,0,0,0,34000,107300,247800,285027,306703
AKA16106,Oskemen (oust-kamenogorsk,KAZ003,Kazakhstan,49.98,82.61,0,0,0,14000,20000,150371,230340,274287,324478,300977,303720
AR19401,Vologda,RUS77,Russia,59.21666667,39.9,16324,14159,27705,57100,95300,139100,177800,236500,282800,293046,301642
AUA16113,Poltava,UKR18,Ukraine,49.58,34.57,15521,20516,53703,89391,128456,143097,219873,278931,314740,316630,300501
AAZ03101,Sumqayit,AZE00,Azerbaijan,40.59,49.67,0,0,0,0,0,51485,127268,195844,239824,274760,299600
AKA16108,Semei/semipalatinsk,KAZ003,Kazakhstan,50.41,80.23,0,0,26246,57000,110000,156110,235735,282574,334402,269228,299264
AUA25115,Tchernigiv,UKR27,Ukraine,51.5,31.3,11100,14351,27716,34359,68597,89585,158873,238141,296347,304405,297402
AUA23114,Tcherkasi,UKR25,Ukraine,49.43,32.07,0,11945,29600,38563,51723,84822,158393,228197,290340,294731,287713
AUA12116,Lisitchansk,UKR14,Ukraine,48.92,38.42,0,0,0,0,117170,183949,278724,309953,343124,307666,287540
AR70234501,novmoskovsk,RUS72,Russia,54.03333333,38.26666667,0,0,0,0,107500,280915,321341,333118,326161,297284,279563
ATU04101,Dashougouz,TUR00,Turkmenistan,41.83,59.97,0,0,0,0,0,0,0,83750,111406,195034,275278
AR80445,sterlitamak,RUS07,Russia,53.63333333,55.95,0,0,15550,25000,38800,111600,184900,220100,247500,264362,273432
AUA18113,Soumi,UKR20,Ukraine,50.92,34.78,13223,12120,27564,43814,63976,98015,166467,228174,291264,290984,272326
AR83401,Naltchik,RUS19,Russia,43.48333333,43.61666667,0,0,0,12900,53400,100700,164700,230800,262700,308749,271774
AUA06104,Zhitomir,UKR07,Ukraine,50.25,28.67,17434,29350,65895,69465,95067,116246,172235,243764,292097,283277,271714
AR96401,groznyj,RUS167,Russia,43.31666667,45.7,0,0,15564,68700,172400,251750,341300,375300,399700,210720,271596
AR98401,Iakoutsk,RUS15,Russia,62.03333333,129.7333333,0,0,0,10600,52900,74300,111349,158528,198710,226429,269486
AR34401,Kostroma,RUS30,Russia,57.76666667,40.93333333,12160,14834,41336,72300,121300,171700,223000,254700,278400,278750,268617
AR88401,Iochkar-Ola,RUS38,Russia,56.63333333,47.86666667,0,0,0,0,27200,89845,169532,211084,255191,273329,265528
AR08409,Komsomolsk-na-Amoure,RUS26,Russia,50.55,137,0,0,0,0,70800,177300,218100,263900,315300,281035,263906
AR86401,Petrozavodsk,RUS12,Russia,61.78333333,34.35,0,10144,12522,26300,69700,135300,184500,234100,269500,266160,263540
AUA22112,Khmelnitskii,UKR24,Ukraine,49.42,27,0,0,22855,27298,37481,62473,112959,171801,236938,253973,261397
AR60437,taganrog,RUS55,Russia,47.23333333,38.9,12565,18515,51437,85900,188800,202100,254200,276400,291600,281947,257692
AR71135,Nijni-Vartovsk,RUS70,Russia,60.95,76.55,0,0,0,0,0,0,15700,108700,241500,239044,251860
AUA24112,Tchernivtsi,UKR26,Ukraine,48.3,25.93,0,33000,68000,112000,106300,154390,186812,218561,256644,240893,251776
AR60440,shahty,RUS55,Russia,47.7,40.23333333,0,0,16479,31700,143998,230681,240678,246684,266622,263585,251406
AUA17110,Rivne,UKR19,Ukraine,50.62,26.25,0,0,24573,36162,43000,59598,115541,178956,227925,248642,249582
AUZ07104,Karshi,OUZ00,Uzbekistan,38.86,65.8,0,0,0,0,0,19709,71111,108225,168719,214735,249107
AR25414,Bratsk,RUS17,Russia,56.11666667,101.6,0,0,0,0,0,51500,185261,244048,284617,259335,246348
AR03420,novrossijsk,RUS33,Russia,44.71666667,37.76666667,0,12044,16897,66200,95200,93500,132700,159100,185900,232079,241788
AKA10103,Kostanai,KAZ001,Kazakhstan,53.17,63.58,0,0,14275,25000,34000,91060,136372,181236,244872,230436,237869
AUA11105,Kirovograd,UKR13,Ukraine,48.5,32.26,0,0,61488,64502,100054,134330,188795,236652,269803,252936,236097
AR87401,Syktyvkar,RUS29,Russia,61.66666667,50.81666667,0,0,0,0,25300,64500,125100,171000,232100,230011,235006
AKI05101,Osh,KIR00,Kyrgyzstan,40.53,72.79,0,0,34157,31000,33000,65197,120374,169000,211045,201183,234552
AR32419,leninskkuzn,RUS25,Russia,54.65,86.16666667,0,0,0,19600,126000,270000,277983,282768,319700,253259,234389
AR92435,nizhnekamsk,RUS65,Russia,55.63333333,51.81666667,0,0,0,0,0,0,49000,134200,190800,225399,234108
AR25405,angarsk,RUS17,Russia,52.56666667,103.9166667,0,0,0,0,0,140075,209006,244079,270649,251176,233765
AMO02108,Tiraspol,MOL00,Moldavia,46.84,29.64,13608,22694,63413,49466,68343,105785,177553,231829,311831,249614,229527
AKA07102,Oral,KAZ002,Kazakhstan,51.23,51.37,12126,17640,36466,36000,67000,103914,134162,177716,211925,211465,229226
